Date,Time,MSec,Sample,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12
11/22/2016,19:27:47,831,0,10,10,10,10,9,10,10,9,9,9,9,9
11/22/2016,19:27:48,19,1,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:48,234,2,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:48,422,3,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:48,625,4,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:48,829,5,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:49,28,6,10,10,10,10,9,10,9,10,9,9,9,9
11/22/2016,19:27:49,233,7,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:49,436,8,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:49,641,9,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:49,834,10,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:50,37,11,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:50,240,12,10,10,10,10,9,10,10,9,9,9,9,9
11/22/2016,19:27:50,396,13,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:50,599,14,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:50,802,15,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:51,2,16,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:51,194,17,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:51,393,18,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:51,597,19,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:51,796,20,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:52,0,21,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:52,207,22,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:52,410,23,10,10,10,10,9,10,10,9,9,9,9,9
11/22/2016,19:27:52,612,24,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:52,816,25,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:53,20,26,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:53,217,27,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:53,421,28,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:53,624,29,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:53,818,30,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:54,21,31,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:54,224,32,10,10,10,10,9,10,10,9,9,9,9,9
11/22/2016,19:27:54,427,33,10,10,10,10,9,10,9,10,9,9,9,9
11/22/2016,19:27:54,630,34,10,10,10,10,9,10,10,9,9,9,9,9
11/22/2016,19:27:54,818,35,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:55,32,36,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:55,221,37,10,10,10,10,9,10,9,10,9,9,9,9
11/22/2016,19:27:55,424,38,10,10,10,10,9,10,9,10,9,9,9,9
11/22/2016,19:27:55,628,39,10,10,10,10,9,10,9,10,9,9,9,9
11/22/2016,19:27:55,836,40,10,10,10,10,9,10,10,9,9,9,9,9
11/22/2016,19:27:56,32,41,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:56,236,42,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:56,439,43,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:56,642,44,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:56,845,45,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:57,43,46,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:57,237,47,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:57,445,48,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:57,650,49,10,10,10,10,9,10,9,10,9,9,9,9
11/22/2016,19:27:57,841,50,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:58,44,51,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:58,247,52,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:58,451,53,10,10,10,10,9,10,9,10,9,9,9,9
11/22/2016,19:27:58,654,54,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:58,857,55,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:59,55,56,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:59,262,57,10,10,10,10,9,10,9,10,9,9,9,9
11/22/2016,19:27:59,371,58,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:59,575,59,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:59,783,60,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:27:59,971,61,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:00,174,62,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:00,377,63,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:00,581,64,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:00,781,65,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:00,991,66,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:01,184,67,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:01,387,68,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:01,581,69,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:01,790,70,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:01,994,71,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:02,197,72,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:02,400,73,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:02,603,74,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:02,803,75,10,10,10,10,9,10,9,10,9,9,9,9
11/22/2016,19:28:03,8,76,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:03,205,77,10,10,10,10,9,10,9,10,9,9,9,9
11/22/2016,19:28:03,409,78,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:03,597,79,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:03,800,80,10,10,10,10,9,10,10,9,9,9,9,9
11/22/2016,19:28:04,3,81,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:04,207,82,10,10,10,10,9,10,10,9,9,9,9,9
11/22/2016,19:28:04,410,83,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:04,612,84,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:04,816,85,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:05,21,86,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:05,218,87,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:05,421,88,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:05,626,89,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:05,818,90,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:06,22,91,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:06,224,92,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:06,428,93,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:06,632,94,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:06,835,95,10,10,10,10,9,10,10,9,9,9,9,9
11/22/2016,19:28:07,19,96,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:07,222,97,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:07,429,98,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:07,637,99,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:07,825,100,10,10,10,10,9,10,10,9,9,9,9,9
11/22/2016,19:28:08,29,101,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:08,232,102,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:08,435,103,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:08,639,104,10,10,10,10,9,10,9,9,9,9,9,9
11/22/2016,19:28:08,842,105,10,10,10,10,9,10,9,9,9,9,9,9
